Tag;English
PreGloomyGothicSetup_Content1;Place the <b>{{0=| |Hardware Store|Wire Service|Book Store|Warehouse|Pet Store}}</b> tile over spot <b>{{1=|A|B|C}}</b> on the Village Chronicle.<br />
PreGloomyGothicSetup_Content2;<br />Return all other Suspicious Building tiles to the scenario box.
PreGloomyGothic3Setup_Content;Turn to <b>{{0=?|Page 12|Page 16}}</b> of the Village Chronicle.<br /><br />
MWTokenResolve_0_Content;The player who just completed their Masterwork <b>loses 4VP for each Experiment currently in their Stored Experiments</b>.
GloomyPenalty1_0_Content;Each player must <b>pay $2</b> and <b>discard 1 Ingredient</b> (or <b>lose 3VP</b> if unable to pay).
TieredRewards1_0_Content;In turn order, each player may donate (discard) 1 completed Experiment from their Estate to the Order:<br /><br />• <b>A-Level Experiment:</b> Gain <b>2VP</b> and <b>{{0=|$2|1 Ingredient|1 Knowledge of choice|Lose 2 Creepy}}</b>.<br />• <b>B-Level Experiment:</b> Gain <b>4VP</b> and <b>{{1=|1 Estate Upgrade|$3 and 1 Ingredient|2 Knowledge of choice}}</b>.<br />• <b>C-Level Experiment:</b> Gain <b>7VP</b> and <b>{{2=|1 Servant from Lost and $3|1 Vanity Estate Upgrade}}</b>.<br /><br />• <b>Refuse to Donate:</b> Move <b>1 Servant</b> from your Estate to <b>Lost</b> and gain <b>1 <icon=Insanity_Icon></b>.
CannotParticipate_0_Content;Each player who wishes to participate in the confrontation against the Fraternity of Hunters may now reveal and discard any number of completed Experiments stored on their Hunter token.
OhYesTheyDead_0_Content;Victory! Each player who contributed at least 1 Experiment to the assault <b>gains {{0=...}} VP per Experiment contributed</b>!<br /><br />You will no longer suffer Fraternity taxation for the rest of the game!
ConfrontationFail_0_Content;The uprising failed! Each player who contributed Experiments still <b>gains VP equal to the printed value of their contributed Experiments</b>, but every player must <b>move the <icon=AngryMob_Icon> 1 space left</b> and {{0=?|<b>gain 1 <icon=Insanity_Icon></b>|<b>gain 1 <icon=Creepy_Icon></b>}}.
TaxesEventNoConfrontation_0_Content;Each player must <b>pay $3</b> (or <b>lose 3VP</b> if unable to pay) to the Fraternity's tax collectors.
TaxesEventNoConfrontation2_0_Content;Each player <b>gains 1 <icon=Creepy_Icon></b>. The Fraternity's oppressive taxation will continue until the end of the game.
VialSoldforLess_0_Content;<b>{{0=...}} III</b> returns the <b>Vial Token</b> to the scenario box and <b>gains $2 and 2VP</b>. All players <b>lose 1 <icon=Creepy_Icon></b>.
VialChanged_0_Content;<b>{{0=...}} III</b> returns the <b>Vial Token</b> to the scenario box and <b>gains 4VP</b>. All players <b>lose 1 <icon=Insanity_Icon> and 1 <icon=Creepy_Icon></b>.
VialSold_0_Content;<b>{{0=...}} III</b> returns the <b>Vial Token</b> to the scenario box and <b>gains $4 and 3VP</b>!
TieredRewards2_Content;In turn order, each player must make a second tribute to the Order of St. Hubertus:<br /><br />• <b>A-Level Experiment:</b> Gain <b>3VP</b> and <b>{{0=|$2|1 Ingredient|1 Knowledge of choice|Lose 2 Creepy}}</b>.<br />• <b>B-Level Experiment:</b> Gain <b>5VP</b> and <b>{{1=|1 Estate Upgrade|$3 and 1 Ingredient|2 Knowledge of choice}}</b>.<br />• <b>C-Level Experiment:</b> Gain <b>8VP</b> and <b>{{2=|1 Servant from Lost and $3|1 Vanity Estate Upgrade}}</b>.<br /><br />• <b>Refuse to Donate:</b> Move <b>1 Servant</b> from your Estate to <b>Lost</b> and gain <b>2 <icon=Insanity_Icon></b>.
GloomyPenalty3_0_Content;Final Inquisition Tithe: Each player must <b>pay $4</b> (or <b>lose 4VP</b> if unable to pay).
AwardSpawningPods_0_Content;Retrieve the <b>Spawning Pod</b> Estate Upgrades from the scenario box. Each player who donated at least 1 Experiment to the Order of St. Hubertus during this generation builds a <b>Spawning Pod</b> in their Estate at no cost and <b>gains 3VP</b>!
//====== Gen 3 - Prosperity Gameplay & Popups ======;
Prosperity_MonsterSpawn_Content;The Town Hall of the village has been transformed into the unofficial headquarters of the Order. When a player visits the Monster Spawn, they may <b>Perform an Experiment</b>.
Prosperity_Acceptance_Content;Caretaker pieces can now take actions in Town as well as in the Estates. <i>The same Town placement rules for Servants apply to Caretaker pieces.</i>
Prosperity_School_Content;When a player visits the <b>School for Hybridized Individuals</b>, they <b>pay $1</b> to gain a <b>Caretaker</b> piece from Lost.
Prosperity_ExperimentsAreFeared_Content;Anytime a player takes the Perform an Experiment Estate action, they gain 1 <icon=Creepy_Icon>.
Prosperity_FarmersMarket_Content;Due to the associated social stigma, the Farmer's Market now acts as a Creepy location. When you visit the Farmer's Market also <b>gain 1 <icon=Creepy_Icon></b>.
Prosperity_AngryMob_Content;Any time the <icon=AngryMob_Icon> token moves, move the <icon=StorybookToken> token along with it. If the <icon=AngryMob_Icon> token overtakes a player, complete the current action and then 
Prosperity_HuntersHaven_Content;For each visit to the Hunter's Haven, pay 1 Occult Knowledge cube to lose 2 <icon=Insanity_Icon>. <i>(You cannot use Journaled Knowledge to pay this cost.)</i>
Prosperity_EngineeringAchievement_Content;When you gain a Vanity Estate Upgrade, the <b>Engineering Master's Study</b> is part of the available pool to build as normal.
Prosperity_EndlessHunt_Content;At the end of the round, two of the scientists will be chosen to participate in the <b>Night of the Hunt.</b> This invitation cannot be refused.
Prosperity_ScientificAchievement_Content;When you gain a Vanity Estate Upgrade, all remaining <b>Master's Study</b> tiles are part of the available pool to build as normal <i>(not Occult)</i>.
GoodConsequences_0_Content;Retrieve the <b><icon=Creepy_Icon> tokens</b> from the scenario box. Each player must place a <icon=Creepy_Icon> token on the Perform Experiment Action in their Estate.<br /><br />Every time a Perform Experiment Action is taken, that player will move forward 1 space on the <icon=Creepy_Icon> Track <i>(in addition to any other printed effects)</i>.
Evilsforgive_0_Content;Retrieve the <b>Master's Study</b> Vanity Estate Upgrade tiles.<br /><br /><b>Choose:</b><br />Starting with the player in last place and continuing in ascending order by point total, each player chooses a <b>Master's Study</b> tile and adds it to their Estate. No additional cost is paid for a new plot to place this tile. <i>(Ties are broken by the player that went later in turn order in the previous round.)</i>
Evilsforgive_1_Player;<b>{{0=...}} III immediately gains 1 <icon=Creepy_Icon></b>.<br />
EquitableValues_0_Content;The {{0=?|player with the fewest VP gains 1|<b>2</b> players with the fewest VP gain 1}} of their Servants from Lost. <i>Ties are broken by the player who went last in the previous round.</i><br /><br />The player with the most points gains 2 <icon=Creepy_Icon>.
MayoralAward_0_Content;Retrieve the <b>Personal Library</b> Estate Upgrade from the scenario box. You may immediately build it in the next empty plot on your Estate board at no additional cost. Then, return the <b>Commemorative Mayoral Coin</b> to the box.<br /><br />Whenever you take the Perform Experiment action, the <b>Personal Library</b> provides one free Knowledge of your choice from the supply. This Knowledge can be used immediately towards the cost of Performing that Experiment.
WolvesBankMayorGood_0_Content;<b>{{0=...}} III</b> gains 1 <icon=Creepy_Icon> and loses <b>2VP</b>. Then, return the <b>Commemorative Mayoral Coin</b> to the scenario box.
ResolveCharityWolves_0_Content;<b>{{0=...}} III</b> may <b>gain a Servant from Lost</b> (if possible) and <b>returns their <icon=Creepy_Icon> token to the start of the <icon=Creepy_Icon> Track.</b><br /><br />Return the <b>Heart <icon=S1_HeartToken> token</b> to the scenario box.
LycanGood_0_Content;Retrieve the <b>Lycanthropic Strength</b> Update card from the scenario box and give it to the player working towards this Masterwork.
PreProsperitySetup_Wolves_Content;Turn to page <b>17</b> of the Village Chronicle. Place the Suspicion Marker on space <b>{{0=...}}</b> and the <icon=AngryMob_Icon> token one space to the left. <i>Pass the Starting Player token as normal.</i>{{1=?| Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.|}}<br /><br />Place a <icon=StorybookToken> token directly on top of the <icon=AngryMob_Icon> token.<br /><br />
PreProsperitySetup_Hunters_Content;Turn to page <b>15</b> of the Village Chronicle. Place the 2 <b>Engineering Master's Study</b> tiles into play near the other Vanity Estate Upgrades. The Suspicion Marker remains in the same space and the <icon=AngryMob_Icon> token is reset 1 space to the left. <i>Pass the Starting Player token as normal.</i>{{0=?| Then, since this is a 3-player game, pass the starting player marker clockwise 1 additional time.|}}<br /><br />
PreProsperitySetup_SpotA;Place the {{0=| |Hardware Store|Wire Service|Book Store|Warehouse|Pet Store}} tile over spot A on the Village Chronicle.<br />
PreProsperitySetup_SpotB;Place the {{0=| |Hardware Store|Wire Service|Book Store|Warehouse|Pet Store}} tile over spot B on the Village Chronicle.<br />
PreProsperitySetup_SpotC;Place the {{0=| |Hardware Store|Wire Service|Book Store|Warehouse|Pet Store}} tile over spot C on the Village Chronicle.<br />
PreProsperitySetup_ReturnOther;<br />Return all other Exposed Building tiles to the scenario box.
AngryMobStorybook_0_Content;Return a Servant to Lost.{{0=?| Then lose <b>{{1=...}}VP</b>.|}}<br /><br />Move your <icon=Creepy_Icon> token <b>2 spaces</b> to the left. Move the <icon=AngryMob_Icon> token <b>3 spaces</b> to the right <i>(or as far as possible)</i>.
WolvesEco_Friendly_0_Content;Put a <icon=Creepy_Icon> token on the <b>Farmer's Market</b>.
CharityAwardGood_0_Content;Retrieve the <b>Personal Library</b> Estate Upgrade from the scenario box. You may immediately build it in the next empty plot on your Estate board at no additional cost. Then, return the Heart <icon=S1_HeartToken> token to the scenario box.
CureMoonSick1_0_Content;All players with a <b>Disease Experiment</b> in their Stored Experiments <b>draw a Compulsion and gain a Body.</b>
Huntround1_0_Content;<b>{{0=...}} III</b> and <b>{{1=...}} III</b> each choose a Servant/Spouse piece and place it on the Hunter's Haven.<br /><br /><i>If a player cannot perform this action, they lose 3VP and gain a Servant/Spouse piece from Lost to place onto the Hunter's Haven.</i>
HuntSuccess1_0_Content;Each player participating in the Hunt: <b>Lose 1 <icon=Creepy_Icon></b>, return this servant to your Quarters, and <b>Gain {{0=|2VP|3VP|a Knowledge of your choice}}.</b>
HuntFail1_0_Content;All players participating in the Hunt <b>return their Servant on Hunter's Haven to Lost</b>.
NoFrenzy_0_Content;Retrieve the <b>Chemistry</b> and <b>Engineering Master's Study</b> Vanity Estate Upgrades from the scenario box and place them nearby. Any time you gain a Vanity Estate Upgrade, you may choose to gain 1 of these instead.
MayorResolveHunters_0_Content;<b>{{0=...}} III</b> gains <b>{{1=...}}VP</b>. Gain 1 <icon=Creepy_Icon>.<br /><br />Return the <b>Commemorative Mayoral Coin</b> to the scenario box.
Huntround2_0_Content;<b>{{0=...}} III</b> and <b>{{1=...}} III</b> each choose a Servant/Spouse piece and place it onto the Hunter's Haven.<br /><br /><i>If a player cannot perform this action, they lose 3VP and gain a Servant/Spouse piece from Lost to place onto the Hunter's Haven.</i>
HuntSuccessCheck_0_Content;Retrieve the <b>Chemistry</b> and <b>Biology Master's Study</b> Vanity Estate Upgrades from the scenario box and place them nearby. Any time you gain a Vanity Estate Upgrade, you may choose to gain 1 of these instead.
Prosperity3b_Wolves_Content;Place all Suspicious Building tiles nearby, return the <icon=Creepy_Icon> token on the Farmer's Market to the scenario box, then turn to page <b>18</b> of the Village Chronicle.<br /><br />Return all <icon=Creepy_Icon> tokens from player Estates to the scenario box. Remove the Storybook token from the <icon=Creepy_Icon> Track.<br /><br />
Prosperity3b_Hunters_Content;Place all Suspicious Building tiles nearby, then turn to page <b>18</b> of the Village Chronicle.<br /><br />Return the <b>Engineering Master's Study</b> Estate Upgrade to the scenario box.<br /><br />
//====== Gen 3 - NoUniversity Gameplay & Popups ======;
NoUniversity_Deterioration_Content;Review the active effects of your unnatural longevity.
NoUniversity_ImmortalitySecret_Content;If a player completes the Immortality Experiment:
NoUniversity_TheLocalPub_Content;If your token is overtaken by the <icon=AngryMob_Icon>, in addition to visiting the Church you can also visit any Pub. When you visit a Pub marked with a <icon=Creepy_Icon> and 0 symbol, <b>reset your <icon=Creepy_Icon> to zero</b> by buying a couple rounds at the Pub.
NoUniversity_CompleteMasterwork_Content;A Masterwork can be completed by taking the Perform Experiment action and paying all of its costs.
NoUniversity_Knowledge_Content;At the end of each round, each player will <b>move one space forward on the <icon=Creepy_Icon> Track for each Knowledge cube in their Estate</b>.
TheBoard1_0_Player;<b>{{0=...}} III</b> receives <b>1 Validation Token</b> and <b>1 Knowledge cube</b> of their choice.<br /><br />
NoUniBuildAward_0_Content;<b>{{0=...}} III</b> receives the <b>Commemorative Mayoral Coin</b> token and gains {{1=?|<b>$3</b>|<b>1 Knowledge cube</b> of their choice}}.
LoveCharityNoUni_0_Content;<b>{{0=...}} III</b> receives the <b>Heart <icon=S1_HeartToken> token</b> and gains <b>2 VP</b>.
CreateMwDiscipline_Content1;<link=0>Chemistry.</link><br /><br /><link=1>Biology.</link><br /><br /><link=2>Engineering.</link><br /><br /><link=3>Occult.</link>
CreateMwType_Content1;<link=0>Panacea.</link><br /><br /><link=1>Device.</link><br /><br /><link=2>Creature.</link><br /><br /><link=3>Concoction.</link>
CreateMwNameInput_Content;<b>{{0=...}} III</b>, give your creation a new, majestic name:
PreNoUniversitySetup_Content;Turn to <b>page 8</b> of the Village Chronicle. Retrieve the <icon=Creepy_Icon> tokens from the box.<br /><br />Place the Suspicion Marker on space <b>{{0=...}}</b> and the <icon=AngryMob_Icon> token one space to the left. The player(s) with the most Victory Points immediately <b>gains 2 <icon=Creepy_Icon></b>.{{1=?| Since this is a 3-player game, pass the starting player marker clockwise 1 additional time.|}}{{2=?|<br /><br />Any player who inherited an <b>Immortality</b> card retrieves a <b>Caretaker</b> from Lost, while each player who did not <b>loses 2 <icon=Creepy_Icon></b>.|}}{{3=?|<br /><br />Any player with a <b>Servant</b> in the game box retrieves it from the box and adds it to Lost.|}}
Bar1_0_Content;Place a <icon=Creepy_Icon> token on the <b>Blacksmith</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar2_0_Content;Place a <icon=Creepy_Icon> token on the <b>Farmer's Market</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar3_0_Content;Place a <icon=Creepy_Icon> token on the <b>Fortune Teller</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar4_0_Content;Place a <icon=Creepy_Icon> token on the <b>General Store</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar5_0_Content;Place a <icon=Creepy_Icon> token on the <b>Hospital</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar6_0_Content;Place a <icon=Creepy_Icon> token on the <b>Laborer's Union</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar7_0_Content;Place a <icon=Creepy_Icon> token on the <b>Cemetery</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar8_0_Content;Place a <icon=Creepy_Icon> token on the <b>Blacksmith</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar9_0_Content;Place a <icon=Creepy_Icon> token on the <b>Farmer's Market</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
Bar10_0_Content;Place a <icon=Creepy_Icon> token on the <b>Hospital</b>. When a player takes an action at this location, they <b>gain 1 <icon=Creepy_Icon></b> for every <icon=Creepy_Icon> token on that location.
CompleteMasterwork_Content1;<link=0>Return to the Hub without completing a Masterwork.</link>
CompleteMasterworkReward_Content;{{0=|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 21 VP</b>, <b>Gain 2 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, <b>Gain 2 <icon=Creepy_Icon></b>, and <b>Move the <icon=AngryMob_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 19 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 19 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, <b>Gain 2 <icon=Creepy_Icon></b>, and <b>Move the <icon=AngryMob_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 19 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, <b>Gain 2 <icon=Creepy_Icon></b>, and <b>Move the <icon=AngryMob_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 19 VP</b>, <b>Gain 2 <icon=Insanity_Icon></b>, and <b>Gain 1 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 21 VP</b> and <b>Gain 2 <icon=Creepy_Icon></b>.|<b>{{1=...}} III</b> completes <b>{{2=...}}</b>!<br /><br /><b>Gain 20 VP</b>, <b>Gain 1 <icon=Insanity_Icon></b>, <b>Gain 2 <icon=Creepy_Icon></b>, and <b>Move the <icon=AngryMob_Icon></b>.}}
ImmortalityCheck_0_Content;Remove all <icon=Creepy_Icon> tokens from the board and turn to <b>page 9</b> of the Village Chronicle.<br /><br /><b>{{1=...}} III</b> draws <b>1 Compulsion</b> and returns the <b>Commemorative Mayoral Coin</b> token to the scenario box.<br /><br /><b>{{2=...}} III</b> draws <b>1 Compulsion</b> and returns the <b>Heart <icon=S1_HeartToken> token</b> to the scenario box.{{0=?|<br /><br />In turn order, any player with an <b>Immortality card</b> may choose to discard it to the scenario box to immediately <b>Gain 1 Body, Lose 1 <icon=Insanity_Icon>, and Gain 1 VP</b>, then return a <b>Caretaker</b> piece to Lost.|}}
//====== Gen 3 - University Gameplay & Popups ======;
University_Deterioration_Title;<icon=StorybookToken> <b>Immortality Deterioration</b>
University_Deterioration_Content;Click below to review active Immortality Deterioration effects.
University_ImmortalitySecret_Title;<icon=StorybookToken> <b>The Secret of Immortality</b>
University_ImmortalitySecret_Content;When a player places a piece on the Hospital, they may pay 1 Knowledge cube of their choice and 1 Body to learn the secret of Immortality.
University_TheUniversity_Title;<b>The University</b>
University_TheUniversity_Content;When a player visits the <b>University</b>, they may <b>pay $2</b> to gain <b>2 Knowledge cubes of their choice</b> OR gain <b>1 Estate Upgrade</b> from the supply.
University_ScientificAchievement_Title;<b>Scientific Achievement</b>
University_ScientificAchievement_Content;When you gain a Vanity Estate Upgrade, all remaining <b>Master's Study</b> tiles <i>(except Occult)</i> are part of the available pool to build as normal.
University_VaccinationProgram_Title;<b>The Great Vaccination Program</b>
University_VaccinationProgram_Content;During the Late Years, any player who visits the <b>University</b> may also donate (discard) a completed <b>B- or C-level Biology or Chemistry Experiment</b> to the Great Vaccination Program.
TheBoard2_0_Player;<b>{{0=...}} III</b> gains <b>1 Validation Token</b> <i>(immediately place 1 Estate Upgrade from the supply into your Estate at no cost)</i> and <b>1 Knowledge cube of choice</b>.<br /><br />
BuildAward_0_Content;<b>{{0=...}} III</b> {{1=?|gains <b>$3</b> from the supply.|gains <b>2 Knowledge cubes of their choice</b> from the supply.}}<br /><br />Return the <b>Coin token</b> to the scenario box.
LoveCharity_0_Content;<b>{{0=...}} III</b> gains <b>3VP</b> and <b>1 Caretaker</b> piece from Lost.<br /><br />Return the <b>Heart token</b> to the scenario box.
PreUniversitySetup_Content;<b>Turn to {{0=?|Page 14|Page 13}} of the Village Chronicle.</b><br /><br />Place the Suspicion Marker on space <b>{{1=...}}</b> and the <icon=AngryMob_Icon> token 1 space to the left.<br /><br />Place all remaining <b>Master's Study</b> Vanity Estate Upgrade tiles <i>(except Occult)</i> near the board.<br /><br /><i>Pass the Starting Player token as normal.{{2=?| Then, since this is a 3-player game, pass the starting player marker clockwise 1 additional time.|}}</i>
UniEvent2_Content1;<link=0>Space 0</link><br /><br /><link=1>Space 1</link><br /><br /><link=2>Space 2</link><br /><br /><link=3>Space 3</link><br /><br /><link=4>Space 4 or higher</link>
ChooseSanity_0_Content;Each player currently on or past space <b>{{0=...}}</b> of the <icon=Insanity_Icon> Track <b>loses 2 <icon=Insanity_Icon> and gains 2VP</b>.<br /><br />Each player currently below space <b>{{0=...}}</b> of the <icon=Insanity_Icon> Track <b>gains 1 Knowledge cube of their choice</b>.
VaccinationProgram1_0_Content;<b>{{0=...}} III</b> gains <b>1 Experiment card</b> of their choice and <b>1 Ingredient</b> from the supply.<br /><br /><b>The Great Vaccination Program:</b> During the Late Years, players may donate a completed B- or C-level Biology or Chemistry Experiment when visiting the University for a major end-of-game VP reward!
ResolveVaccination_Content1;<link=0>None or only 1 player donated</link><br /><br /><link=1>More than 1 player (but not all players) donated</link><br /><br /><link=2>All players donated!</link>
SubVaccine_0_Content;Each player who donated an eligible Experiment to the Great Vaccination Program <b>gains 3VP</b>.
MedVaccine_0_Content;Each player who donated an eligible Experiment to the Great Vaccination Program <b>gains 5VP</b>.
UltimateVaccine_0_Content;Every player <b>gains 7VP</b> for eradicating disease from the region!
